category,current_price,competitor_price,demand_score,stock_quantity,sales_history,customer_visits,season_factor,recommended_price
Fashion,3939.18,4274.11,61.23,382,6,508,1.25,4071.99
Accessories,3108.14,3372.79,48.09,126,808,4159,0.84,3126.87
Wearables,27030.9,27016.26,55.54,401,722,711,0.97,26699.27
Electronics,81592.37,71349.1,40.33,444,92,16359,0.82,73527.59
Home Appliances,57764.49,56307.22,84.62,292,515,3503,1.29,60447.19
Fashion,5268.67,5393.03,43.86,116,865,12053,1.24,5593.17
Fashion,5956.73,5570.48,35.92,130,236,579,1.12,5977.03
Electronics,32761.64,34882.87,90.9,86,297,9181,0.99,33607.46
Home Appliances,31059.84,28704.55,87.07,110,13,4649,1.09,31875.33
Accessories,3086.87,2775.27,39.11,27,65,10288,1.09,3006.44
Footwear,10744.06,10557.2,33.09,92,777,11133,1.21,11361.84
Electronics,75673.57,77668.72,94.86,312,575,6149,0.99,77190.4
Accessories,2530.77,2792.07,80.57,155,366,1792,1.08,2715.92
Footwear,2408.73,2242.35,5.71,292,19,331,0.82,2165.34
Wearables,5365.11,4726.62,58.47,11,489,8517,1.29,5580.15
Footwear,1253.35,1423.24,63.91,184,38,6688,1.06,1303.19
Home Appliances,20552.01,21813.99,20.19,374,7,10275,0.89,18898.73
Wearables,18862.51,20945.73,17.71,289,192,14696,1.29,19285.21
Fashion,3898.16,4329.57,57.06,75,986,10105,1.2,4265.05
Accessories,3479.61,3182.81,65.89,52,303,13430,1.09,3517.75
Home Appliances,21132.36,23455.47,99.33,268,584,19664,1.17,22907.41
Accessories,3357.4,3624.51,92.57,18,453,3603,1.18,3677.97
Footwear,5257.26,4936.89,64.91,212,654,4856,1.08,5445.01
Footwear,5396.43,5313.37,23.75,496,290,14487,0.84,5044.77
Fashion,4676.39,4677.02,54.24,327,815,10743,1.26,4942.86
Wearables,14967.42,14429.47,39.88,292,974,11613,1.04,15198.73
Home Appliances,43933.02,49936.77,1.82,406,618,9256,1.25,43638.95
Wearables,36125.16,33345.14,92.7,270,323,13126,1.04,36521.18
Accessories,1506.85,1409.6,30.73,238,155,16539,1.11,1462.51
Fashion,2699.48,3085.55,82.32,349,458,1336,1.14,2874.99
Electronics,91587.15,84898.43,96.29,451,885,1848,1.21,94844.8
Accessories,504.04,524.17,95.14,374,917,1350,1.24,543.19
Fashion,1461.25,1400.22,90.59,151,719,17506,0.92,1496.2
Wearables,13478.3,14416.22,85.12,166,201,195,1.18,14334.21
Wearables,8384.54,8980.36,86.28,118,660,16386,0.89,8677.53
Wearables,26394.92,27242.94,54.67,137,968,17534,1.1,27923.47
Footwear,7648.11,8051.56,44.27,124,166,11593,0.86,7531.98
Footwear,7714.77,7338.04,90.55,108,35,13081,1.12,7871.82
Electronics,45598.61,43615.02,6.94,48,827,3763,1.13,46791.63
Accessories,1398.45,1415.23,88.01,49,66,8029,0.96,1457.39
Accessories,3410.64,3469.77,73.07,285,115,711,1.08,3421.2
Accessories,4819.83,5014.97,75.48,310,207,2715,0.85,4838.39
Electronics,55615.17,63644.38,47.49,29,236,7496,1.0,57577.61
Home Appliances,59571.56,67202.69,54.0,120,285,198,0.85,60662.87
Electronics,97145.67,97344.96,15.93,141,803,5832,0.93,95109.97
Fashion,2595.0,2475.36,23.91,448,842,5349,0.94,2489.26
Home Appliances,35294.8,34141.11,50.12,48,41,1876,1.14,35671.13
Fashion,5274.31,5758.38,79.0,435,525,8314,0.96,5408.12
Fashion,1228.89,1362.35,92.28,269,832,4967,1.21,1352.17
Accessories,2662.06,2581.13,14.64,116,481,15801,1.04,2577.74
Wearables,22882.12,26079.82,43.25,140,542,895,1.24,24513.58
Wearables,6015.26,6269.39,21.6,253,129,5229,0.98,5891.3
Fashion,3028.9,2627.42,99.49,252,926,5128,0.92,3021.94
Footwear,2006.0,2176.13,26.54,262,79,8850,1.05,1951.87
Accessories,3381.9,3734.99,72.43,484,627,5743,1.13,3546.55
Footwear,5171.8,5038.57,82.75,228,597,3766,0.81,5131.43
Home Appliances,48049.25,49233.4,68.1,375,422,14878,1.29,49061.5
Fashion,855.39,738.02,37.14,496,699,10684,1.03,802.17
Accessories,1444.35,1510.08,81.07,220,435,19927,1.0,1492.57
Fashion,5406.47,6144.99,78.69,392,424,6322,1.2,5740.16
Fashion,711.34,797.08,46.15,202,758,17209,1.25,760.77
Electronics,97881.03,85156.07,51.84,466,580,7133,1.06,94278.87
Electronics,115737.98,121259.92,80.21,482,663,11330,1.28,122644.14
Wearables,16728.62,16537.65,99.16,435,398,5380,1.13,17222.99
Wearables,22885.41,25154.73,6.87,137,549,13329,1.06,22950.13
Electronics,54885.04,59317.94,62.47,449,462,11874,0.93,54432.2
Electronics,86590.79,74691.95,96.85,148,675,6028,1.29,92610.57
Home Appliances,30702.88,34574.18,52.08,287,891,16955,0.97,31431.81
Accessories,2126.67,1912.1,27.38,467,724,11485,0.9,1944.05
Home Appliances,3724.75,4274.99,67.15,221,630,16472,1.22,4034.57
Wearables,10400.41,11893.07,74.82,237,646,14621,0.83,10739.09
Home Appliances,45931.68,42753.18,53.96,268,465,13107,0.87,44743.47
Footwear,2827.3,2693.61,41.34,420,700,1426,1.05,2794.85
Home Appliances,35206.25,37201.24,87.33,366,280,3350,0.88,35216.8
Electronics,115131.13,128306.19,27.79,482,223,10097,1.2,115205.77
Footwear,4558.03,4889.42,81.51,218,922,11379,0.98,4828.16
Home Appliances,51338.72,56574.72,83.27,461,13,13994,1.28,54564.64
Electronics,106581.14,114775.03,84.2,69,823,17558,0.86,113908.0
Fashion,5374.08,5524.09,39.15,468,821,2073,0.89,5152.77
Fashion,3907.74,3738.33,79.42,19,272,10872,1.04,4022.14
Fashion,3588.17,3653.46,60.35,161,669,17027,1.1,3748.14
Accessories,4177.73,4175.55,7.71,405,663,9374,1.17,4110.22
Wearables,7603.2,7211.31,43.4,145,830,1701,0.83,7571.79
Accessories,3757.62,4319.4,93.31,300,160,12535,1.12,3983.7
Home Appliances,59494.21,63906.65,74.0,89,399,9078,0.89,61430.41
Wearables,39226.58,35287.77,70.03,349,253,2807,1.06,38765.48
Fashion,5190.0,4762.67,37.69,319,932,10245,1.2,5256.37
Fashion,5655.44,6004.98,63.12,125,742,5155,1.25,6110.69
Accessories,3387.69,3851.75,6.9,363,617,9607,0.93,3272.26
Footwear,4176.61,4536.38,97.48,399,181,2064,1.02,4285.31
Accessories,3212.59,3272.33,34.59,177,928,14339,1.17,3343.04
Footwear,11604.66,11814.13,93.68,425,665,2589,1.19,12250.92
Wearables,11748.14,12291.52,19.81,471,304,18372,0.95,11417.63
Wearables,25124.04,23989.73,11.41,177,628,15402,1.23,25538.31
Wearables,10641.56,10335.01,54.25,422,597,12514,1.07,10872.69
Home Appliances,15890.38,17544.18,42.86,4,513,14407,1.22,16994.6
Footwear,8230.51,8342.69,6.23,423,293,4716,1.03,7956.2
Footwear,9691.8,8823.51,25.86,19,153,9333,1.18,9539.51
Wearables,27065.92,24318.35,25.55,380,679,18539,1.18,26566.59
Electronics,18667.6,16232.63,46.39,455,43,18011,1.05,17595.53
Electronics,68646.49,60273.15,44.11,266,503,6461,1.06,66665.49
Accessories,4026.42,4120.14,63.46,54,904,8128,1.26,4338.96
Accessories,2921.75,2629.03,61.35,364,258,332,0.94,2804.61
Home Appliances,11020.56,10035.37,18.42,100,927,14253,1.21,11356.71
Home Appliances,7757.45,8647.43,80.36,301,886,7233,1.29,8497.71
Wearables,39396.19,41380.81,63.47,259,923,1175,1.29,42222.21
Wearables,23270.72,23462.0,71.94,417,665,276,0.89,23195.87
Wearables,13266.61,14931.07,11.07,59,939,19424,1.13,13775.93
Home Appliances,50210.21,47727.94,17.38,276,155,18149,1.25,49061.25
Footwear,6063.79,6516.44,65.11,175,895,16071,1.17,6548.71
Footwear,8048.74,7146.31,67.62,65,482,9177,0.8,7916.42
Home Appliances,51777.02,47539.27,83.7,342,639,9844,1.15,52276.89
Wearables,3261.2,3069.38,65.32,141,995,16893,0.92,3326.11
Electronics,121440.39,127451.14,26.03,224,645,7468,0.8,117231.62
Home Appliances,29240.42,32438.42,54.66,34,658,5711,1.2,31354.96
Footwear,5763.52,4971.66,73.99,153,613,1800,0.86,5711.08
Accessories,384.63,438.03,72.67,250,635,13736,1.07,411.59
Footwear,10625.74,9390.76,70.37,316,675,10754,0.92,10428.08
Electronics,126312.2,110178.63,22.64,333,221,90,0.82,114146.0
Accessories,4423.03,4923.62,33.04,85,936,19632,1.11,4743.07
Home Appliances,27463.41,25550.11,78.92,468,766,17094,0.83,26748.25
Accessories,1335.06,1330.4,73.76,200,444,13685,1.23,1395.14
Footwear,10839.25,10655.14,60.71,306,549,12516,0.92,10711.76
Accessories,789.86,762.49,48.77,341,491,243,0.94,771.31
Home Appliances,7043.14,6524.18,36.19,267,261,8971,1.25,7048.82
Footwear,4189.59,4782.25,33.13,240,866,8383,1.11,4345.89
Wearables,22406.28,24786.75,4.95,135,554,5037,0.94,22037.52
Wearables,18664.46,17088.3,39.68,309,381,18234,1.21,18738.05
Wearables,15118.48,15152.1,87.42,396,703,15164,0.82,14990.18
Footwear,2620.08,2443.02,39.46,107,18,11645,1.24,2613.32
Wearables,13756.16,15092.4,95.51,249,452,4665,1.23,15091.66
Home Appliances,5914.72,5484.61,5.95,174,851,14019,0.86,5572.39
Fashion,1007.57,1036.68,54.96,112,736,16765,0.84,994.38
Electronics,142132.97,149320.89,67.87,449,818,10108,1.1,145078.26
Electronics,97697.42,108650.23,72.4,154,628,11827,1.06,104035.75
Footwear,6966.85,6218.9,1.17,267,418,2332,1.04,6517.12
Wearables,32704.86,29918.91,46.66,407,504,7511,1.22,32675.44
Home Appliances,51554.95,50068.59,7.76,72,948,10263,1.19,53579.08
Footwear,6061.33,6205.47,75.94,22,359,15484,1.09,6387.6
Fashion,2535.29,2175.85,39.3,407,678,3411,0.88,2347.58
Electronics,61693.46,55298.19,2.54,443,913,2061,0.8,55948.41
Footwear,5623.99,5305.48,67.71,324,391,979,1.22,5845.34
Accessories,1086.59,1240.46,22.85,343,442,4702,0.99,1101.97
Footwear,3455.73,3897.0,41.42,50,817,18743,1.18,3663.17
Wearables,33748.25,32436.09,37.48,34,86,835,1.21,34278.14
Electronics,26907.23,27769.96,15.16,400,108,3857,0.97,25062.72
Electronics,86854.77,78212.81,24.69,342,946,13915,1.21,87022.69
Wearables,9395.71,8148.84,34.24,491,532,8541,1.22,9000.34
Wearables,18873.66,19588.41,48.89,434,508,19604,1.24,19369.89
Home Appliances,35454.51,36737.9,20.13,340,519,1357,1.23,35960.94
Footwear,11022.11,11756.66,53.34,139,245,12071,1.2,11561.11
Accessories,571.38,602.37,46.68,11,581,932,1.03,594.18
Home Appliances,36557.7,35190.4,28.58,416,957,13577,1.02,35974.95
Footwear,6721.77,6706.3,57.73,178,948,15359,1.03,7099.16
Accessories,4090.97,4062.11,99.61,327,115,7134,1.02,4117.27
Electronics,55288.71,50982.54,31.19,322,442,13374,1.29,55838.66
Fashion,3122.64,3298.5,72.27,53,905,12463,1.12,3355.87
Accessories,4080.85,3810.0,21.07,56,733,12356,0.9,4037.78
Wearables,2215.3,2505.79,82.19,200,126,8498,1.22,2350.59
Fashion,1074.22,1041.71,72.31,461,383,8655,0.81,1034.0
Home Appliances,49069.41,55659.74,7.23,60,82,5292,1.23,49635.62
Fashion,922.74,922.91,79.45,143,357,7405,0.87,940.53
Accessories,4357.98,4228.95,29.25,119,893,5736,1.25,4604.71
Wearables,24163.78,26644.66,54.9,157,436,2878,1.1,25615.08
Home Appliances,13707.04,14610.85,86.69,73,9,1639,0.84,13746.75
Fashion,1830.62,1948.12,82.25,407,846,13383,1.08,1907.64
Home Appliances,53273.55,58448.2,72.17,360,715,15970,0.96,55625.82
Electronics,84002.43,72582.77,27.62,293,208,14137,0.8,77069.05
Wearables,37373.72,41036.88,12.99,136,922,5843,0.96,37489.84
Accessories,4563.84,5170.35,42.24,197,623,15977,1.28,4908.63
Fashion,3605.46,4070.75,84.42,438,905,6368,0.88,3704.41
Wearables,35269.43,31913.26,27.84,10,784,12768,1.27,36593.75
Footwear,8156.81,7051.2,36.01,303,870,19021,1.23,8064.81
Footwear,6143.16,5606.64,36.87,235,872,9133,1.23,6296.92
Accessories,4296.64,3925.4,65.74,458,821,2055,0.91,4125.92
Wearables,30652.88,26385.43,39.47,263,262,14659,1.17,29879.29
Electronics,135179.03,126557.7,36.78,312,48,4263,1.19,135271.7
Wearables,12168.52,13393.21,1.47,164,101,18249,1.22,12272.92
Footwear,6522.94,6335.64,53.09,181,883,12878,1.03,6683.29
Accessories,495.79,480.56,76.23,118,155,11073,1.19,518.89
Footwear,7413.84,6471.65,38.26,232,673,15543,1.02,7241.61
Wearables,14988.54,16063.34,22.33,312,637,6205,0.8,14560.93
Accessories,4281.19,3669.31,89.86,224,982,15114,0.95,4296.18
Wearables,17124.2,16111.73,6.57,488,156,19710,1.17,16010.76
Fashion,5946.15,5480.85,53.07,467,433,16711,0.98,5704.99
Footwear,9036.77,9361.38,89.61,24,393,8702,1.21,9714.92
Accessories,3321.25,3629.99,94.74,101,215,9965,1.07,3600.48
Electronics,108149.96,114317.65,93.06,83,819,14746,1.02,114943.21
Wearables,38064.71,43344.02,62.09,61,597,6403,1.07,40845.45
Home Appliances,27670.51,23884.36,16.57,92,519,11741,1.25,27432.34
Footwear,9765.94,10802.46,24.2,69,680,14657,1.12,10231.33
Accessories,4975.65,5291.69,98.11,331,138,8598,1.02,5096.18
Home Appliances,3742.69,3197.22,82.94,284,570,1346,1.28,3893.08
Wearables,38210.08,43563.91,39.28,361,7,10767,1.16,38962.78
Electronics,36964.47,37686.22,77.16,85,43,12474,1.22,38575.31
Accessories,1978.04,2230.95,22.87,170,980,18651,0.96,2037.16
Footwear,3941.27,3640.72,40.28,363,652,1246,0.86,3774.86
Electronics,35763.95,41022.18,95.48,128,671,8842,1.18,39285.53
Wearables,3239.48,2809.64,44.44,345,717,13022,0.93,3048.3
Accessories,2997.05,2921.17,84.73,256,57,14238,1.29,3115.25
Electronics,38654.94,42908.18,28.25,220,579,13046,1.16,40284.72
Footwear,5817.02,5513.96,83.97,108,699,14584,1.25,6341.02
Fashion,5388.88,5460.83,20.45,391,552,9633,0.97,5161.58
Home Appliances,14803.32,12898.84,6.9,270,994,2518,1.03,14144.88
Accessories,1012.5,1126.67,53.91,247,627,16712,1.27,1096.55
Home Appliances,34161.93,34490.11,59.04,187,565,5495,0.83,33522.45
Footwear,10733.53,9290.63,19.11,331,37,12757,1.17,10052.68
Wearables,30844.62,31859.08,89.6,356,536,16639,0.86,30682.24
Home Appliances,25412.13,26103.12,66.1,58,798,3323,0.81,25827.55
Fashion,4793.47,4913.94,95.22,9,725,2882,1.1,5272.53
Wearables,23283.48,25244.41,70.85,50,803,1154,1.27,25510.13
Fashion,4334.65,4613.36,46.17,0,406,13739,1.16,4557.82
Footwear,1760.47,1571.48,21.34,339,307,2342,1.23,1725.24
Electronics,113152.66,115259.77,94.71,64,848,7156,1.04,119245.77
Accessories,2106.47,1806.42,83.9,487,77,11115,1.11,2055.17
Fashion,2907.14,2676.0,70.49,338,901,17426,1.28,3053.44
Footwear,6408.46,5674.99,96.15,445,482,2813,0.91,6243.19
Footwear,10545.19,9460.96,30.98,150,513,19527,1.14,10426.01
Footwear,10387.35,11889.06,62.8,499,463,16249,0.83,10329.0
Electronics,17672.41,17092.84,19.14,139,400,19383,0.97,17047.1
Home Appliances,17086.5,16347.62,8.39,488,18,12303,0.99,15862.53
Accessories,4915.63,5335.72,73.35,214,525,5991,1.1,5186.88
Fashion,1486.51,1696.4,11.33,317,680,2038,0.89,1455.84
Accessories,2286.82,2181.53,39.76,386,777,14164,0.93,2240.41
Home Appliances,11204.69,11525.23,17.21,494,229,16396,1.02,10461.47
Accessories,3115.51,3231.08,64.85,413,308,19283,1.15,3203.31
